entity_id,entity_name,segment,owner
PRO001,Property asset 1,Watch,Operations
PRO002,Property asset 2,Growth,Analytics
PRO003,Property asset 3,Core,Revenue
PRO004,Property asset 4,Growth,Product
PRO005,Property asset 5,Strategic,Analytics
PRO006,Property asset 6,Strategic,Customer
PRO007,Property asset 7,Growth,Product
PRO008,Property asset 8,Watch,Customer
PRO009,Property asset 9,Strategic,Product
PRO010,Property asset 10,Growth,Analytics
PRO011,Property asset 11,Growth,Product
PRO012,Property asset 12,Strategic,Revenue
PRO013,Property asset 13,Core,Product
PRO014,Property asset 14,Growth,Product
PRO015,Property asset 15,Strategic,Customer
PRO016,Property asset 16,Core,Analytics
PRO017,Property asset 17,Strategic,Analytics
PRO018,Property asset 18,Watch,Revenue
PRO019,Property asset 19,Growth,Revenue
PRO020,Property asset 20,Strategic,Analytics
PRO021,Property asset 21,Watch,Product
PRO022,Property asset 22,Strategic,Analytics
PRO023,Property asset 23,Growth,Product
PRO024,Property asset 24,Core,Operations
PRO025,Property asset 25,Strategic,Analytics
PRO026,Property asset 26,Watch,Product
PRO027,Property asset 27,Watch,Analytics
PRO028,Property asset 28,Growth,Analytics
PRO029,Property asset 29,Core,Revenue
PRO030,Property asset 30,Strategic,Product
PRO031,Property asset 31,Growth,Revenue
PRO032,Property asset 32,Strategic,Product
PRO033,Property asset 33,Core,Revenue
PRO034,Property asset 34,Strategic,Customer
PRO035,Property asset 35,Watch,Product
PRO036,Property asset 36,Core,Product
