week_start,property_id,property_name,market,submarket,comp_effective_rent,subject_effective_rent,rent_position_vs_comp_pct,comp_occupancy,submarket_traffic_index,new_supply_units
2026-01-04,MF001,Cedar Vista,San Antonio,Northwest,1895.0,1801.0,-0.0493,0.9525,100.2,31
2026-01-11,MF001,Cedar Vista,San Antonio,Northwest,1853.0,1807.0,-0.0251,0.9253,100.8,59
2026-01-18,MF001,Cedar Vista,San Antonio,Northwest,1899.0,1806.0,-0.0494,0.9428,99.1,115
2026-01-25,MF001,Cedar Vista,San Antonio,Northwest,1761.0,1815.0,0.0306,0.951,98.4,210
2026-02-01,MF001,Cedar Vista,San Antonio,Northwest,1778.0,1809.0,0.0173,0.9561,94.4,249
2026-02-08,MF001,Cedar Vista,San Antonio,Northwest,1852.0,1824.0,-0.0152,0.9452,91.5,25
2026-02-15,MF001,Cedar Vista,San Antonio,Northwest,1843.0,1824.0,-0.01,0.9832,90.1,229
2026-02-22,MF001,Cedar Vista,San Antonio,Northwest,1864.0,1816.0,-0.0258,0.9438,89.1,37
2026-03-01,MF001,Cedar Vista,San Antonio,Northwest,1896.0,1802.0,-0.0497,0.9477,86.2,123
2026-03-08,MF001,Cedar Vista,San Antonio,Northwest,1826.0,1837.0,0.0061,0.9425,105.2,126
2026-03-15,MF001,Cedar Vista,San Antonio,Northwest,1826.0,1816.0,-0.0053,0.985,90.1,208
2026-03-22,MF001,Cedar Vista,San Antonio,Northwest,1891.0,1840.0,-0.0266,0.9551,103.6,58
2026-03-29,MF001,Cedar Vista,San Antonio,Northwest,1857.0,1819.0,-0.0202,0.985,88.7,192
2026-04-05,MF001,Cedar Vista,San Antonio,Northwest,1962.0,1838.0,-0.063,0.9654,104.2,109
2026-04-12,MF001,Cedar Vista,San Antonio,Northwest,1790.0,1819.0,0.0161,0.9376,90.3,165
2026-04-19,MF001,Cedar Vista,San Antonio,Northwest,1824.0,1837.0,0.0068,0.9665,96.7,123
2026-01-04,MF002,Mission Ridge,San Antonio,Medical Center,1479.0,1409.0,-0.0474,0.7493,106.3,243
2026-01-11,MF002,Mission Ridge,San Antonio,Medical Center,1488.0,1412.0,-0.0514,0.7692,107.9,194
2026-01-18,MF002,Mission Ridge,San Antonio,Medical Center,1474.0,1407.0,-0.0455,0.72,108.8,242
2026-01-25,MF002,Mission Ridge,San Antonio,Medical Center,1500.0,1427.0,-0.0487,0.7958,93.7,494
2026-02-01,MF002,Mission Ridge,San Antonio,Medical Center,1528.0,1415.0,-0.0738,0.7316,111.7,313
2026-02-08,MF002,Mission Ridge,San Antonio,Medical Center,1465.0,1415.0,-0.0336,0.7942,105.0,228
2026-02-15,MF002,Mission Ridge,San Antonio,Medical Center,1487.0,1422.0,-0.0439,0.7893,94.4,101
2026-02-22,MF002,Mission Ridge,San Antonio,Medical Center,1567.0,1430.0,-0.0869,0.8082,96.0,450
2026-03-01,MF002,Mission Ridge,San Antonio,Medical Center,1573.0,1431.0,-0.09,0.7754,111.9,285
2026-03-08,MF002,Mission Ridge,San Antonio,Medical Center,1567.0,1422.0,-0.0928,0.7334,94.5,256
2026-03-15,MF002,Mission Ridge,San Antonio,Medical Center,1523.0,1427.0,-0.0634,0.7885,97.9,259
2026-03-22,MF002,Mission Ridge,San Antonio,Medical Center,1570.0,1435.0,-0.0863,0.8124,113.6,326
2026-03-29,MF002,Mission Ridge,San Antonio,Medical Center,1583.0,1431.0,-0.0962,0.7789,110.2,296
2026-04-05,MF002,Mission Ridge,San Antonio,Medical Center,1463.0,1422.0,-0.0278,0.8056,101.7,198
2026-04-12,MF002,Mission Ridge,San Antonio,Medical Center,1499.0,1449.0,-0.0336,0.7668,110.1,192
2026-04-19,MF002,Mission Ridge,San Antonio,Medical Center,1535.0,1453.0,-0.0534,0.7663,99.3,490
